"Identifier","Akt","mTOR","Akt_0.7_0.6","mTOR_0.7_0.6","Akt_0.7_0.7","mTOR_0.7_0.7","Akt_0.7_0.8","mTOR_0.7_0.8","Akt_0.7_0.9","mTOR_0.7_0.9","Akt_0.7_1","mTOR_0.7_1","Akt_0.8_0.6","mTOR_0.8_0.6","Akt_0.8_0.7","mTOR_0.8_0.7","Akt_0.8_0.8","mTOR_0.8_0.8","Akt_0.8_0.9","mTOR_0.8_0.9","Akt_0.8_1","mTOR_0.8_1","Akt_0.9_0.6","mTOR_0.9_0.6","Akt_0.9_0.7","mTOR_0.9_0.7","Akt_0.9_0.8","mTOR_0.9_0.8","Akt_0.9_0.9","mTOR_0.9_0.9","Akt_0.9_1","mTOR_0.9_1","Akt_0.95_0.6","mTOR_0.95_0.6","Akt_0.95_0.7","mTOR_0.95_0.7","Akt_0.95_0.8","mTOR_0.95_0.8","Akt_0.95_0.9","mTOR_0.95_0.9","Akt_0.95_1","mTOR_0.95_1"
"100043914;88;",NA,NA,0.148,0.198,0.124,0.43,0.146,0.211,0.258,0.269,0.027,0.451,0.121,0.308,0.447,0.403,0.222,0.371,0.301,0.467,0.144,0.537,0.161,0.6,0.494,0.303,0.067,0.447,0.105,0.165,0.026,0.35,0.209,0.265,0.051,0.395,0.036,0.28,0.016,0.81,0.171,0.356
"100043914;89;",NA,NA,0.267,0.354,0.159,0.459,0.871,0.29,0.246,0.505,0.099,0.278,0.303,0.299,0.506,0.295,0.375,0.368,0.21,0.39,0.328,0.507,0.234,0.632,0.528,0.347,0.639,0.342,0.284,0.134,0.096,0.295,0.206,0.297,0.083,0.424,0.23,0.314,0.107,0.796,0.496,0.389
"1110018J18RIK;18;",NA,NA,0.027,0.48,0.056,0.343,0.012,0.329,0.533,0.131,0.009,0.304,0.092,0.236,0.029,0.223,0.06,0.388,0.04,0.255,0.037,0.214,0.023,0.161,0.01,0.131,0.041,0.419,0.286,0.358,0.028,0.21,0.25,0.383,0.016,0.255,0.115,0.174,0.027,0.565,0.031,0.272
"1110037F02RIK;133;",NA,NA,0.001,0.116,0,0.065,0.001,0.106,0.001,0.072,0.011,0.06,0.005,0.049,0.005,0.031,0,0.073,0.003,0.096,0,0.058,0.008,0.08,0.005,0.059,0.002,0.026,0.001,0.1,0,0.025,0.005,0.148,0.013,0.187,0.004,0.116,0.002,0.118,0.004,0.073
"1110037F02RIK;138;",NA,NA,0.005,0.34,0.002,0.608,0.001,0.496,0,0.636,0.013,0.593,0.005,0.457,0.004,0.465,0,0.25,0.007,0.179,0,0.233,0.026,0.416,0.011,0.595,0.013,0.318,0.003,0.737,0.001,0.314,0.016,0.431,0.023,0.544,0.009,0.798,0.006,0.165,0.017,0.563
"1110037F02RIK;1628;",NA,NA,0.024,0.369,0.005,0.698,0.001,0.493,0,0.777,0.012,0.683,0.014,0.366,0.006,0.458,0,0.301,0.018,0.179,0,0.293,0.015,0.301,0.007,0.477,0.003,0.428,0.004,0.832,0.002,0.248,0.009,0.31,0.012,0.444,0.005,0.554,0.007,0.143,0.017,0.388
"1110037F02RIK;173;",NA,NA,0,0.429,0.004,0.63,0,0.505,0,0.873,0.002,0.661,0.001,0.521,0.003,0.496,0,0.219,0.002,0.145,0,0.268,0,0.341,0.004,0.516,0.005,0.354,0.002,0.742,0.002,0.37,0.012,0.353,0.003,0.502,0.002,0.596,0.023,0.148,0.001,0.511
"1600027N09RIK;191;",NA,NA,0.003,0.077,0.004,0.159,0.001,0.118,0,0.17,0.011,0.055,0.002,0.056,0.013,0.027,0.001,0.043,0.002,0.026,0,0.026,0.013,0.294,0.018,0.129,0.007,0.143,0.006,0.133,0,0.031,0.062,0.226,0.071,0.217,0.014,0.192,0.036,0.353,0.015,0.096
"1600027N09RIK;195;",NA,NA,0.005,0.203,0.002,0.6,0.001,0.489,0,0.659,0.008,0.604,0.004,0.249,0.005,0.349,0,0.208,0.016,0.098,0,0.179,0.006,0.268,0.009,0.49,0.007,0.455,0.003,0.74,0,0.288,0.084,0.309,0.119,0.6,0.084,0.586,0.154,0.248,0.018,0.367
"1700009N14RIK;135;",NA,NA,0.003,0.064,0,0.127,0,0.049,0,0.025,0,0.04,0.017,0.063,0.016,0.067,0,0.096,0.024,0.061,0.004,0.052,0.007,0.095,0.004,0.022,0.014,0.053,0.002,0.039,0.008,0.047,0.014,0.078,0.005,0.062,0.004,0.061,0.002,0.018,0,0.041
"1700017B05RIK;471;",NA,NA,0.025,0.173,0.006,0.155,0.001,0.326,0,0.132,0.013,0.213,0.018,0.145,0.004,0.169,0,0.25,0.029,0.186,0,0.095,0.017,0.242,0.003,0.054,0.012,0.399,0.004,0.407,0.002,0.158,0.01,0.239,0.019,0.273,0.008,0.147,0.002,0.119,0.003,0.289
"1700017B05RIK;493;",NA,NA,0.005,0.102,0.006,0.022,0.026,0.022,0,0.023,0.011,0.004,0.003,0.134,0.035,0.06,0.002,0.241,0,0.095,0.006,0.123,0.001,0.241,0.003,0.41,0.016,0.12,0.002,0.092,0.003,0.081,0.017,0.263,0.006,0.194,0.005,0.224,0.011,0.08,0.02,0.173
"1700017B05RIK;946;",NA,NA,0,0.1,0.001,0.108,0,0.118,0,0.066,0.001,0.224,0.001,0.093,0.006,0.22,0,0.137,0.018,0.087,0.001,0.056,0.004,0.168,0.008,0.069,0.005,0.424,0.003,0.072,0.003,0.125,0.005,0.147,0.013,0.169,0.001,0.179,0.007,0.11,0,0.122
"1700017B05RIK;964;",NA,NA,0.474,0.534,0.214,0.529,0.058,0.398,0.81,0.265,0.097,0.517,0.516,0.269,0.137,0.238,0.264,0.409,0.413,0.329,0.201,0.485,0.286,0.361,0.184,0.203,0.132,0.248,0.452,0.062,0.157,0.186,0.494,0.314,0.296,0.303,0.167,0.204,0.048,0.795,0.426,0.218
"1700025G04RIK;115;",NA,NA,0.022,0.395,0.041,0.071,0.015,0.353,0.019,0.457,0.012,0.279,0.017,0.16,0.007,0.124,0.004,0.128,0.033,0.107,0.023,0.154,0.01,0.249,0.005,0.094,0.013,0.35,0.009,0.054,0.008,0.076,0.025,0.154,0.033,0.148,0.004,0.072,0.003,0.299,0.02,0.106
